alimento,grupo,equivalencia_casera,kcal_por_100g
Carne molida de cerdo 40,AOA BAG,1 gramos = 1 g,140
Carne promedio,AOA BAG,1 gramos = 1 g,176
Carnero,AOA BAG,1 gramos = 1 g,135
Carnero con hueso,AOA BAG,1 gramos = 1 g,134
Carpa,AOA BAG,1 gramos = 1 g,124
Carpa cocida,AOA BAG,1 gramos = 1 g,163
Carpa horneada,AOA BAG,1 gramos = 1 g,163
Chamorro cocido,AOA BAG,1 gramos = 1 g,232
Chuleta de cerdo,AOA BAG,1 pieza = 76 g,142
Cola de res,AOA BAG,1 gramos = 1 g,250
Conejo,AOA BAG,1 gramos = 1 g,159
Conejo de crianza,AOA BAG,1 gramos = 1 g,159
Corazón de borrego,AOA BAG,1 gramos = 1 g,122
Corazón de borrego cocido,AOA BAG,1 gramos = 1 g,183
Corazón de cordero,AOA BAG,1 gramos = 1 g,122
Corazón de cordero cocido,AOA BAG,1 gramos = 1 g,183
Corazón de pavo,AOA BAG,1 gramos = 1 g,145
Corazón de pollo cocido,AOA BAG,1 gramos = 1 g,212
Corned beef,AOA BAG,1 gramos = 1 g,216
Corned beef con áspic,AOA BAG,1 gramos = 1 g,153
Cueritos de cerdo,AOA BAG,1 gramos = 1 g,540
Cuete de ternera,AOA BAG,1 gramos = 1 g,157
Falda de cerdo,AOA BAG,1 gramos = 1 g,140
Filete de carpa,AOA BAG,1 gramos = 1 g,127
Filete de cerdo,AOA BAG,1 gramos = 1 g,140
Filete de puerco,AOA BAG,1 gramos = 1 g,140
Gallina,AOA BAG,1 gramos = 1 g,219
Gallina joven cocida,AOA BAG,1 gramos = 1 g,219
Ganso de crianza,AOA BAG,1 gramos = 1 g,162
Guajolote,AOA BAG,1 gramos = 1 g,158
Hueva de pescado cocida,AOA BAG,1 gramos = 1 g,204
Huevo congelado sin colesterol,AOA BAG,1 cucharada = 15 g,160
Huevo de tortuga,AOA BAG,1 gramos = 1 g,113
Hígado de borrego cocido,AOA BAG,1 gramos = 1 g,220
Hígado de cerdo cocido,AOA BAG,1 gramos = 1 g,167
Hígado de ganso,AOA BAG,1 pieza = 94 g,134
Hígado de ganso crudo,AOA BAG,1 gramos = 1 g,132
Hígado de pato crudo,AOA BAG,1 gramos = 1 g,135
Hígado de pavo,AOA BAG,1 cucharada = 9 g,169
