alimento,grupo,equivalencia_casera,kcal_por_100g
Pay de piña,Cereales C/G,1 pieza = 85 g,386
Pay de queso,Cereales C/G,1 rebanada = 35 g,320
Pay helado de limón,Cereales C/G,1 rebanada = 40 g,272
Pinguinos Marinela,Cereales C/G,1 pieza = 57 g,396
Polvorones Marinela,Cereales C/G,1 pieza = 18 g,483
Polvorón,Cereales C/G,1 pieza = 18 g,483
Pop Tarts,Cereales C/G,1 pieza = 55 g,389
Prispas,Cereales C/G,1 paquete = 25 g,479
Puré de papa,Cereales C/G,1 taza = 210 g,113
Quaker SDW sabor Yogurt de fresa,Cereales C/G,1 pieza = 10 g,421
Rice Krispies Treats,Cereales C/G,1 barra = 22 g,409
Roles de canela,Cereales C/G,1 pieza = 60 g,333
Rollo de fresa,Cereales C/G,1 pieza = 30 g,333
Ruffles queso,Cereales C/G,1 bolsa = 50 g,484
Ruffles sal,Cereales C/G,1 bolsa = 55 g,500
Runner sabor hot sauce,Cereales C/G,1 bolsa = 61 g,550
Sabritas Ligeras,Cereales C/G,1 gramos = 1 g,485
Sabritas Ligeras Cítricas,Cereales C/G,1 gramos = 1 g,465
Sabritas Ligeras Cítricos con Chile,Cereales C/G,1 bolsa = 100 g,452
Sabritas Ligeras Sal,Cereales C/G,1 bolsa = 100 g,488
Sabritras Sal,Cereales C/G,1 bolsa = 46 g,517
Salsa gravie de champiñones,Cereales C/G,1 taza = 230 g,50
Salsa gravie de res,Cereales C/G,1 taza = 226 g,53
Snack Mix Nabisco 100 kcal,Cereales C/G,1 paquete = 22 g,450
Sope de maíz,Cereales C/G,1 pieza = 35 g,106
Strudel de manzana,Cereales C/G,1 rebanada = 40 g,275
Suavicrema de chocolate,Cereales C/G,1 pieza = 12 g,578
Suavicrema sabor fresa,Cereales C/G,1 pieza = 12 g,578
Suavicremas sabor vainilla,Cereales C/G,1 pieza = 12 g,478
Submarino de chocolate,Cereales C/G,1 pieza = 35 g,346
Submarino de fresa,Cereales C/G,1 pieza = 35 g,335
Submarino de vainilla,Cereales C/G,1 pieza = 35 g,346
Sándwich Quaker Chocolate,Cereales C/G,1 gramos = 1 g,413
Tamal de carne,Cereales C/G,1 pieza = 200 g,255
Tamal de elote,Cereales C/G,1 pieza = 200 g,215
Tamal de frijol,Cereales C/G,1 pieza = 200 g,258
Tamal de queso con rajas,Cereales C/G,1 pieza = 200 g,260
Tamal rojo,Cereales C/G,1 pieza = 212 g,303
Tamal verde,Cereales C/G,1 pieza = 2 g,303
Tlacoyo,Cereales C/G,1 pieza = 35 g,206
Tortilla de harina,Cereales C/G,1 pieza = 28 g,286
Tortilla de harina integral,Cereales C/G,1 pieza = 28 g,293
Tostada,Cereales C/G,1 pieza = 12 g,517
Tostada rayada,Cereales C/G,1 pieza = 12 g,517
Tostada tipo Jalisco,Cereales C/G,1 pieza = 12 g,517
Tostitos Sal,Cereales C/G,1 porción = 25 g,468
Totopos de maíz,Cereales C/G,1 gramos = 1 g,436
Trenza glaseada,Cereales C/G,1 pieza = 42 g,405
Wafle,Cereales C/G,1 pieza = 35 g,286
Wafle con mantequilla,Cereales C/G,1 pieza = 35 g,277
Wafle estilo casero,Cereales C/G,1 pieza = 31 g,277
Wafle integral,Cereales C/G,1 pieza = 35 g,240
Wafle miniatura,Cereales C/G,1 pieza = 20 g,280
Wrap,Cereales C/G,1 pieza = 58 g,310
Alegría natural,Cereales S/G,1 cucharadita = 4 g,352
Alegría tostada,Cereales S/G,1 cucharadita = 4 g,394
Alegrías,Cereales S/G,1 pieza = 14 g,352
Amaranto cocido,Cereales S/G,1 taza = 132 g,21
Amaranto tostado,Cereales S/G,1 taza = 64 g,394
Anillos de trigo azucarados de colores,Cereales S/G,1 taza = 32 g,394
Animalitos,Cereales S/G,1 pieza = 2 g,365
Arroz cocido,Cereales S/G,1 taza = 188 g,128
Arroz crudo,Cereales S/G,1 gramos = 1 g,360
Arroz inflado con cocoa,Cereales S/G,1 taza = 34 g,376
Arroz inflado natural,Cereales S/G,1 taza = 34 g,382
Arroz integral cocido,Cereales S/G,1 taza = 197 g,112
Arroz integral crudo,Cereales S/G,1 gramos = 1 g,360
Arroz para sushi,Cereales S/G,1 taza = 179 g,356
Arroz precocido cocido,Cereales S/G,1 taza = 158 g,123
Arroz precocido crudo,Cereales S/G,1 gramos = 1 g,375
Arroz pulido crudo,Cereales S/G,1 gramos = 1 g,360
Arroz salvaje cocido,Cereales S/G,1 taza = 164 g,102
Arroz salvaje crudo,Cereales S/G,1 gramos = 1 g,355
Atole en polvo,Cereales S/G,1 cucharadita = 3 g,378
Atole en sobre,Cereales S/G,1 sobre = 48 g,362
Atole sabor cajeta,Cereales S/G,1 cucharada = 9 g,389
Atole sabor chocolate,Cereales S/G,1 cucharada = 9 g,372
Atole sabor fresa,Cereales S/G,1 cucharada = 9 g,378
Atole sabor nuez,Cereales S/G,1 cucharada = 9 g,378
Atole sbor vainilla,Cereales S/G,1 cucharada = 9 g,378
Atole vitaminado,Cereales S/G,1 sobre = 48 g,369
Avena Instantánea 0% Quaker Sabor Manzana Canela,Cereales S/G,1 sobre = 36 g,333
Avena Instantánea PLUS Varios Sabores,Cereales S/G,1 sobre = 42 g,379
Avena Instantánea Quaker Sabor Fresas con Crema,Cereales S/G,1 sobre = 36 g,367
Avena Instantánea Varios Sabores,Cereales S/G,1 sobre = 42 g,364
"Avena Integral con pasitas, instatánea preparada",Cereales S/G,1 sobre = 44 g,350
Avena Quaker 3 minutos,Cereales S/G,1 taza = 40 g,335
Avena Quaker Old Fashioed,Cereales S/G,1 taza = 40 g,355
Avena Quaker Old Fashion,Cereales S/G,1 taza = 40 g,340
Avena cocida,Cereales S/G,1 taza = 219 g,40
Avena con canela y especias,Cereales S/G,1 sobre = 45 g,373
Avena con manzana y canela,Cereales S/G,1 sobre = 42 g,379
Avena con pasitas y especias,Cereales S/G,1 sobre = 42 g,379
Avena en hojuelas,Cereales S/G,1 taza = 40 g,365
Avena instantánea preparada,Cereales S/G,1 taza = 233 g,69
Avena integral,Cereales S/G,1 taza = 79 g,250
Bagel,Cereales S/G,1 pieza = 73 g,271
Bagel de ajo,Cereales S/G,1 pieza = 73 g,279
Bagel de ajonjolí,Cereales S/G,1 pieza = 73 g,308
Bagel de avena,Cereales S/G,1 pieza = 73 g,250
Bagel de canela y pasas,Cereales S/G,1 pieza = 73 g,271
Bagel de cebolla,Cereales S/G,1 pieza = 73 g,308
Bagel integral,Cereales S/G,1 pieza = 73 g,250
Baguette,Cereales S/G,1 pieza = 193 g,267
Barquillo,Cereales S/G,1 pieza = 10 g,427
Barra Kelloggs Special K Chocolate semiamargo,Cereales S/G,1 barra = 21 g,381
Barra Kelloggs Special K Cosecha roja,Cereales S/G,1 barra = 21 g,381
Barra Kelloggs Special K Sabor Vainilla y Frambuesa,Cereales S/G,1 barra = 21 g,386
Barra Special K Varios Sabores,Cereales S/G,1 pieza = 24 g,375
Barra Stila Quaker Sabor Manzana Canela,Cereales S/G,1 pieza = 25 g,347
Barra Stila Varios Sabores,Cereales S/G,1 pieza = 25 g,358
Barra de amaranto,Cereales S/G,1 pieza = 14 g,352
Barra de cereal con fruta,Cereales S/G,1 pieza = 14 g,343
Barrita de avena,Cereales S/G,1 pieza = 28 g,400
Barrita de granola sabor manzana,Cereales S/G,1 pieza = 28 g,393
Bebida vegetal Silk Avena sin azúcar y sin endulzar,Cereales S/G,1 taza = 240 g,31
Birote,Cereales S/G,1 pieza = 67 g,305
Bolillo,Cereales S/G,1 pieza = 61 g,365
Bolillo integral,Cereales S/G,1 pieza = 61 g,320
Bolillo integral sin migajón,Cereales S/G,1 pieza = 54 g,270
Bolillo sin migajón,Cereales S/G,1 pieza = 60 g,263
Bollos para hamburguesa,Cereales S/G,1 pieza = 76 g,260
Bpññp de hamburguesa,Cereales S/G,1 pieza = 27 g,256
Burbujas de maíz azucaradas,Cereales S/G,1 taza = 32 g,369
Camote al horno,Cereales S/G,1 taza = 212 g,100
Camote amarillo,Cereales S/G,1 taza = 164 g,126
Camote cocido,Cereales S/G,1 taza = 209 g,106
Camote con miel,Cereales S/G,1 taza = 179 g,100
Camote con naranja,Cereales S/G,1 taza = 200 g,152
Camote en dulce,Cereales S/G,1 taza = 260 g,137
Camote largo,Cereales S/G,1 pieza = 236 g,124
Camote poblano (dulce),Cereales S/G,1 pieza = 60 g,138
Canelones,Cereales S/G,1 pieza = 5 g,340
Cebada,Cereales S/G,1 gramos = 1 g,345
Cebada perla cocida,Cereales S/G,1 taza = 158 g,123
Centeno,Cereales S/G,1 cucharadita = 4 g,327
Ceral de arroz inflado con chocolate,Cereales S/G,1 taza = 32 g,388
Cereal Avena Flakes,Cereales S/G,1 taza = 25 g,358
Cereal Chewy para Niños Varios Sabores,Cereales S/G,1 pieza = 28 g,371
Cereal Kelloggs Choco Krispis Krunchers,Cereales S/G,1 taza = 35 g,265
Cereal Kelloggs Corn Flakes,Cereales S/G,1 taza = 30 g,365
Cereal Kelloggs Froot Loops Krunchers,Cereales S/G,1 taza = 30 g,273
Cereal Kelloggs Rice Krispies,Cereales S/G,1 taza = 36 g,372
Cereal Kelloggs Special K Antioxidantes,Cereales S/G,1 taza = 38 g,363
Cereal Kelloggs Special K Energía,Cereales S/G,1 taza = 38 g,389
Cereal Kelloggs Special K Equilibrio,Cereales S/G,1 taza = 38 g,395
Cereal Kelloggs Special K Original,Cereales S/G,1 taza = 30 g,360
Cereal Kelloggs Zucaritas Krunchers,Cereales S/G,1 taza = 36 g,272
Cereal Kelloggsgs's All-Bran Flakes Cosecha Frutal,Cereales S/G,1 taza = 39 g,300
Cereal Kelloggsgs's All-Bran Flakes Manzana Crunch,Cereales S/G,1 taza = 39 g,335
Cereal Kelloggss's All-Bran Flakes Natural,Cereales S/G,1 taza = 39 g,327
Cereal Kelloggss's All-Bran Flakes Pasas,Cereales S/G,1 taza = 39 g,304
Cereal Kelloggss's All-Bran Original,Cereales S/G,1 taza = 40 g,273
Cereal Multibran Flakes,Cereales S/G,1 taza = 25 g,342
Cereal Multibran Pasas,Cereales S/G,1 taza = 25 g,347
Cereal Quaker Avena Oh's,Cereales S/G,1 taza = 30 g,350
Cereal Quaker Chewy Sabor Frutas,Cereales S/G,1 taza = 30 g,365
Cereal Quaker Multibran Pasas,Cereales S/G,1 taza = 30 g,350
Cereal Quaker Stila Sabor Manzana Canela,Cereales S/G,1 taza = 30 g,370
Cereal con almendras y pasas,Cereales S/G,1 taza = 58 g,368
Cereal de arroz,Cereales S/G,1 taza = 34 g,394
Cereal de avena con maple,Cereales S/G,1 taza = 82 g,241
"Cereal de avena integral, seco",Cereales S/G,1 taza = 58 g,374
Cereal de galletas de chispa de chocolate,Cereales S/G,1 taza = 30 g,400
Cereal de maíz reventado con azúcar,Cereales S/G,1 taza = 32 g,369
Cereal de maíz reventado sabor chocolate y crema de cacahuate,Cereales S/G,1 taza = 42 g,436
Cereal de salvado de trigo,Cereales S/G,1 taza = 64 g,257
Cereal de trigo con canela,Cereales S/G,1 taza = 39 g,446
Cereal de trigo sabor frutas,Cereales S/G,1 taza = 30 g,400
Cereal integral con pasitas,Cereales S/G,1 taza = 61 g,330
Cereal multigrano,Cereales S/G,1 taza = 80 g,335
Cereal sin azúcar,Cereales S/G,1 taza = 28 g,364
Chapata,Cereales S/G,1 pieza = 70 g,252
Codito crudo,Cereales S/G,1 gramos = 1 g,370
Coditos con crema deshidratados,Cereales S/G,1 cucharada = 10 g,407
Couscous,Cereales S/G,1 taza = 158 g,112
Crepas,Cereales S/G,1 pieza = 15 g,230
Crepas para rellenar,Cereales S/G,1 pieza = 15 g,230
Crepas saladas,Cereales S/G,1 pieza = 15 g,230
Croutones,Cereales S/G,1 taza = 30 g,407
Cuadritos de avena,Cereales S/G,1 taza = 58 g,374
Cuadritos de avena con salvado,Cereales S/G,1 taza = 58 g,374
Cáscara de papa cruda,Cereales S/G,1 taza = 50 g,58
Cúrcuma,Cereales S/G,1 gramos = 1 g,53
Discos de amaranto,Cereales S/G,1 pieza = 29 g,575
Elote amarillo cocido,Cereales S/G,1 pieza = 44 g,108
Elote amarillo congelado,Cereales S/G,1 pieza = 47 g,99
Elote amarillo crudo,Cereales S/G,1 pieza = 53 g,86
Elote amarillo desgranado cocido,Cereales S/G,1 taza = 166 g,80
Elote amarillo desgrasado crudo,Cereales S/G,1 taza = 166 g,80
Elote amarillo enlatado,Cereales S/G,1 taza = 164 g,80
Elote blanco cocido,Cereales S/G,1 pieza = 55 g,85
Elote blanco desgranado,Cereales S/G,1 taza = 166 g,80
Elote crudo,Cereales S/G,1 pieza = 55 g,85
Elote desgranado,Cereales S/G,1 taza = 166 g,80
Elote enlatado,Cereales S/G,1 taza = 164 g,80
English Muffin,Cereales S/G,1 pieza = 58 g,231
Espagueti cocido,Cereales S/G,1 taza = 139 g,124
Espagueti cocido,Cereales S/G,1 taza = 142 g,123
Espagueti con espinaca cocido,Cereales S/G,1 taza = 142 g,130
Espagueti con espinaca cocido,Cereales S/G,1 taza = 142 g,130
Espagueti crudo,Cereales S/G,1 gramos = 1 g,350
Espagueti crudo,Cereales S/G,1 gramos = 1 g,350
Espagueti integral cocido,Cereales S/G,1 taza = 139 g,124
Espagueti integral cocido,Cereales S/G,1 taza = 142 g,123
Espagueti integral crudo,Cereales S/G,1 gramos = 1 g,350
Fetuccini crudo,Cereales S/G,1 gramos = 1 g,350
Fibra uno,Cereales S/G,1 taza = 60 g,200
Fideo cocido,Cereales S/G,1 taza = 40 g,370
Fideo con tomate deshidratado,Cereales S/G,1 cucharada = 10 g,360
Fideo crudo,Cereales S/G,1 gramos = 1 g,360
Fideo de arroz,Cereales S/G,1 taza = 40 g,365
Fideo seco deshidratado,Cereales S/G,1 cucharada = 10 g,360
Fruitcake,Cereales S/G,1 rebanada = 40 g,325
Fusili cocido,Cereales S/G,1 taza = 139 g,124
Fusili crudo,Cereales S/G,1 gramos = 1 g,350
Fécula de maíz,Cereales S/G,1 cucharada = 8 g,375
Fécula de maíz de sabor,Cereales S/G,1 cucharada = 8 g,375
Galleta María,Cereales S/G,1 pieza = 4 g,363
Galleta de animalito,Cereales S/G,1 pieza = 2 g,453
Galleta de avena pasas,Cereales S/G,1 pieza = 10 g,407
Galleta de barras de higo,Cereales S/G,1 pieza = 16 g,350
Galleta de manzana,Cereales S/G,1 pieza = 15 g,333
Galleta dulce,Cereales S/G,1 pieza = 8 g,400
Galleta dulce sin relleno,Cereales S/G,1 pieza = 8 g,400
Galleta para sopa,Cereales S/G,1 pieza = 1 g,389
Galleta salada,Cereales S/G,1 pieza = 4 g,431
Galleta salada integral,Cereales S/G,1 pieza = 4 g,438
Galleta salada molida,Cereales S/G,1 cucharada = 6 g,433
Galletas Marías,Cereales S/G,1 pieza = 4 g,363
Galletas Marías azucaradas,Cereales S/G,1 pieza = 4 g,394
Galletas de maíz horneadas sin grasa (Salmas),Cereales S/G,1 pieza = 6 g,356
Gluten de trigo,Cereales S/G,1 cucharada = 6 g,378
Granola Quaker Sabor Pasas y Miel,Cereales S/G,1 taza = 30 g,380
Granola baja en grasa,Cereales S/G,1 cucharada = 6 g,389
"Granola con fruta seca, baja en grasas",Cereales S/G,1 cucharada = 6 g,383
Habaneras Bran Trigo Entero,Cereales S/G,1 pieza = 9 g,400
Habaneras Bran Trigo Entero,Cereales S/G,1 galletas = 4 g,400
Habaneras arándano ciruela,Cereales S/G,1 pieza = 9 g,394
Habaneras clásicas,Cereales S/G,1 galletas = 4 g,411
Habaneras clásicas,Cereales S/G,1 pieza = 4 g,411
Habaneras integrales,Cereales S/G,1 galletas = 4 g,383
Habaneras integrales,Cereales S/G,1 pieza = 4 g,383
Harina,Cereales S/G,1 cucharada = 8 g,365
Harina Kamut,Cereales S/G,1 cucharada = 9 g,378
Harina blanca,Cereales S/G,1 cucharada = 8 g,365
Harina blanca refinada,Cereales S/G,1 gramos = 1 g,365
Harina de alforfón,Cereales S/G,1 cucharada = 8 g,335
Harina de amaranto,Cereales S/G,1 cucharada = 10 g,358
Harina de arroz,Cereales S/G,1 cucharada = 10 g,360
Harina de arroz refinada,Cereales S/G,1 cucharada = 10 g,375
Harina de avena,Cereales S/G,1 cucharada = 8 g,406
Harina de cebada,Cereales S/G,1 cucharada = 9 g,344
Harina de cebada,Cereales S/G,1 cucharada = 8 g,345
Harina de centeno,Cereales S/G,1 cucharada = 9 g,350
Harina de centeno integral,Cereales S/G,1 cucharada = 8 g,325
Harina de malta,Cereales S/G,1 cucharada = 9 g,361
Harina de maíz,Cereales S/G,1 cucharada = 7 g,361
Harina de maíz nixtamalizada,Cereales S/G,1 cucharada = 7 g,361
Harina de maíz para atole,Cereales S/G,1 cucharada = 8 g,400
Harina de maíz para tamales,Cereales S/G,1 cucharada = 7 g,443
Harina de papa,Cereales S/G,1 cucharada = 10 g,347
Harina de quinoa,Cereales S/G,1 cucharada = 8 g,358
Harina de tapioca,Cereales S/G,1 cucharada = 8 g,365
Harina de trigo,Cereales S/G,1 cucharada = 8 g,355
Harina de trigo integral,Cereales S/G,1 cucharada = 8 g,337
Harina de trigo para panificación,Cereales S/G,1 cucharada = 8 g,365
Harina de trigo para pastelería,Cereales S/G,1 cucharada = 7 g,365
Harina integral,Cereales S/G,1 cucharada = 8 g,337
Harina integral de centeno,Cereales S/G,1 cucharada = 8 g,325
Harina integral de trigo,Cereales S/G,1 cucharada = 8 g,337
Harina nixtamalizada,Cereales S/G,1 cucharada = 7 g,372
Harina para brownies,Cereales S/G,1 cucharada = 9 g,462
Harina para brownies baja en grasas,Cereales S/G,1 cucharada = 9 g,339
Harina para hot cakes,Cereales S/G,1 cucharada = 9 g,339
Harina para repostería,Cereales S/G,1 cucharada = 8 g,375
Harina para tamales,Cereales S/G,1 cucharada = 7 g,443
Hilos de trigo entrelazados con miel maple y azúcar,Cereales S/G,1 pieza = 2 g,345
Hojuelas de 7 fibras,Cereales S/G,1 taza = 61 g,350
Hojuelas de arroz,Cereales S/G,1 taza = 32 g,344
Hojuelas de avena,Cereales S/G,1 taza = 79 g,250
Hojuelas de avena con maple,Cereales S/G,1 taza = 79 g,250
Hojuelas de avena endulzadas con miel y almendras,Cereales S/G,1 taza = 42 g,421
Hojuelas de avena instantáneas con manzana y canela,Cereales S/G,1 taza = 239 g,87
Hojuelas de avena instantáneas con miel maple y azúcar morena. Preparado,Cereales S/G,1 taza = 236 g,102
Hojuelas de avena instantáneas con pasas y especias. Preparado,Cereales S/G,1 taza = 248 g,100
"Hojuelas de avena instantáneas con pasas, dátiles y nueces. Preparado",Cereales S/G,1 taza = 244 g,116
"Hojuelas de avena, fruta seca y nueces",Cereales S/G,1 taza = 84 g,343
Hojuelas de cereales con fruta seca,Cereales S/G,1 taza = 55 g,389
Hojuelas de cereales con frutas secas,Cereales S/G,1 taza = 55 g,389
Hojuelas de maíz,Cereales S/G,1 taza = 25 g,353
Hojuelas de maíz azucaradas,Cereales S/G,1 taza = 39 g,400
Hojuelas de maíz y trigo con fruta y nueces,Cereales S/G,1 taza = 55 g,389
Hojuelas de papa para puré,Cereales S/G,1 gramos = 1 g,355
Hojuelas de salvado,Cereales S/G,1 taza = 64 g,319
Hojuelas de salvado con pasas,Cereales S/G,1 taza = 58 g,347
Hojuelas de trigo,Cereales S/G,1 taza = 36 g,328
Hojuelas de trigo con miel,Cereales S/G,1 taza = 36 g,344
Hojuelas de trigo integral,Cereales S/G,1 taza = 32 g,369
Hojuelas de trigo integral con chispas de yoghurt,Cereales S/G,1 taza = 38 g,337
Hojuelas de trigo integral con fibra extra,Cereales S/G,1 taza = 52 g,192
Hojuelas de trigo integral con frutas y yoghurt,Cereales S/G,1 taza = 45 g,380
Hojuelas de trigo integral con frutos rojos,Cereales S/G,1 taza = 32 g,356
Hojuelas de trigo negro,Cereales S/G,1 taza = 179 g,92
"Hojuelas fortificadas de trigo entero, almendras, nueces y miel",Cereales S/G,1 taza = 60 g,387
Hot cake,Cereales S/G,1 pieza = 51 g,182
Kamut (trigo de Jorasán) cocido,Cereales S/G,1 taza = 164 g,133
Lasagna cruda,Cereales S/G,1 gramos = 1 g,340
Lasaña cruda,Cereales S/G,1 gramos = 1 g,340
Linaza,Cereales S/G,1 cucharada = 12 g,533
Maca,Cereales S/G,1 cucharada = 9 g,356
Macarroón cocido,Cereales S/G,1 taza = 142 g,123
Macarrón crudo,Cereales S/G,1 gramos = 1 g,340
Macarrón integral cocido,Cereales S/G,1 taza = 142 g,123
Maicena,Cereales S/G,1 cucharada = 8 g,375
Maicena de sabor,Cereales S/G,1 cucharada = 8 g,375
Maizena,Cereales S/G,1 cucharada = 8 g,375
Maizena,Cereales S/G,1 cucharada = 8 g,375
Malanga,Cereales S/G,1 gramos = 1 g,112
Marinela Sponch,Cereales S/G,1 pieza = 20 g,400
Marías,Cereales S/G,1 pieza = 4 g,395
Marías Cerealé fresa,Cereales S/G,1 pieza = 10 g,440
Masa Yucatán,Cereales S/G,1 gramos = 1 g,172
Masa de maíz,Cereales S/G,1 gramos = 1 g,153
Masa de maíz amarillo,Cereales S/G,1 gramos = 1 g,189
Masa de maíz blanco,Cereales S/G,1 gramos = 1 g,153
Masa para pizza,Cereales S/G,1 cucharada = 9 g,259
Masa para tortillas,Cereales S/G,1 gramos = 1 g,153
Maíz,Cereales S/G,1 gramos = 1 g,372
Maíz amarillo,Cereales S/G,1 gramos = 1 g,372
Maíz amarillo cocido,Cereales S/G,1 gramos = 1 g,372
Maíz azul,Cereales S/G,1 gramos = 1 g,372
Maíz blanco,Cereales S/G,1 gramos = 1 g,372
Maíz blanco cocido,Cereales S/G,1 gramos = 1 g,358
Maíz cacahuacintle,Cereales S/G,1 gramos = 1 g,372
Maíz cacahuacintle,Cereales S/G,1 gramos = 1 g,372
Maíz palomero,Cereales S/G,1 gramos = 1 g,365
Maíz pozolero,Cereales S/G,1 taza = 164 g,107
Media noche,Cereales S/G,1 pieza = 44 g,250
Media noche con ajonjolí,Cereales S/G,1 pieza = 44 g,250
Mijo cocido,Cereales S/G,1 taza = 173 g,119
Mijo crudo,Cereales S/G,1 gramos = 1 g,380
Mini chapata,Cereales S/G,1 pieza = 35 g,251
Mueslix con manzana y almendra,Cereales S/G,1 taza = 72 g,378
Nixtamal,Cereales S/G,1 gramos = 1 g,153
Nutrigain sabor fresa,Cereales S/G,1 pieza = 38 g,363
Nutrigrain de fresa,Cereales S/G,1 pieza = 38 g,363
Nutritas variedad de sabores,Cereales S/G,1 bolsa = 34 g,394
Oblea,Cereales S/G,1 pieza = 4 g,425
Obleas con pepita,Cereales S/G,1 pieza = 7 g,400
Palanqueta de amaranto,Cereales S/G,1 pieza = 40 g,360
Palanqueta de amaranto con pasas,Cereales S/G,1 pieza = 39 g,400
Palitos de pan,Cereales S/G,1 pieza = 6 g,411
Palomitas,Cereales S/G,1 taza = 7 g,389
Palomitas acarameladas,Cereales S/G,1 taza = 36 g,422
Palomitas acarameladas sin grasa,Cereales S/G,1 taza = 25 g,363
Palomitas fat free,Cereales S/G,1 taza = 7 g,389
Palomitas naturales,Cereales S/G,1 taza = 7 g,389
Palomitas sin grasa,Cereales S/G,1 taza = 7 g,389
Pambazo,Cereales S/G,1 pieza = 50 g,268
Pan 5 granos,Cereales S/G,1 rebanada = 25 g,248
Pan 7 granos,Cereales S/G,1 rebanada = 26 g,250
Pan Melba,Cereales S/G,1 pieza = 5 g,400
Pan Thin,Cereales S/G,1 pieza = 28 g,183
Pan bagel dulce,Cereales S/G,1 pieza = 70 g,278
Pan bagel integral,Cereales S/G,1 pieza = 70 g,261
Pan bagel salado,Cereales S/G,1 pieza = 70 g,278
Pan baguette,Cereales S/G,1 pieza = 193 g,267
Pan birote,Cereales S/G,1 pieza = 67 g,305
Pan blanco,Cereales S/G,1 rebanada = 27 g,263
Pan cemita,Cereales S/G,1 pieza = 70 g,287
Pan centeno,Cereales S/G,1 rebanada = 32 g,258
Pan con salvado,Cereales S/G,1 rebanada = 36 g,248
Pan de 7 granos,Cereales S/G,1 rebanada = 26 g,250
Pan de arroz,Cereales S/G,1 pieza = 4 g,315
Pan de avena,Cereales S/G,1 rebanada = 30 g,237
Pan de caja,Cereales S/G,1 rebanada = 27 g,263
Pan de caja integral,Cereales S/G,1 rebanada = 25 g,268
Pan de centeno y comino,Cereales S/G,1 rebanada = 20 g,275
Pan de centeno y trigo,Cereales S/G,1 rebanada = 28 g,261
Pan de girasol integral,Cereales S/G,1 pieza = 25 g,228
Pan de hamburguesa chico,Cereales S/G,1 pieza = 52 g,258
Pan de hot dog,Cereales S/G,1 pieza = 44 g,250
Pan de hot dog con ajonjolí,Cereales S/G,1 pieza = 44 g,250
Pan de jengibre,Cereales S/G,1 rebanada = 25 g,288
Pan de miel y avena,Cereales S/G,1 rebanada = 28 g,254
Pan de plátano,Cereales S/G,1 rebanada = 28 g,324
Pan de trigo con arroz,Cereales S/G,1 rebanada = 28 g,281
Pan integral,Cereales S/G,1 rebanada = 25 g,268
Pan italiano,Cereales S/G,1 pieza = 70 g,274
Pan matza,Cereales S/G,1 pieza = 28 g,400
Pan molido,Cereales S/G,1 cucharadita = 2 g,412
Pan negro,Cereales S/G,1 rebanada = 26 g,265
Pan negro con trigo,Cereales S/G,1 rebanada = 25 g,260
Pan panini,Cereales S/G,1 pieza = 46 g,265
Pan para hamburguesa chico,Cereales S/G,1 pieza = 52 g,258
Pan para hamburguesa grande,Cereales S/G,1 pieza = 76 g,260
Pan para pambazo,Cereales S/G,1 pieza = 50 g,268
Pan pita,Cereales S/G,1 pieza = 70 g,278
"Pan tipo ""English Muffin""",Cereales S/G,1 pieza = 58 g,231
Pan tipo Media Noche,Cereales S/G,1 pieza = 44 g,250
Pan tostado,Cereales S/G,1 rebanada = 15 g,427
Pan ácimo,Cereales S/G,1 pieza = 61 g,285
Pan árabe,Cereales S/G,1 pieza = 61 g,270
Pan árabe integral,Cereales S/G,1 pieza = 64 g,267
Panqué fat-free,Cereales S/G,1 rebanada = 50 g,284
Papa al horno con cáscara,Cereales S/G,1 pieza = 156 g,94
Papa al horno sin cáscara,Cereales S/G,1 pieza = 156 g,94
Papa cocida,Cereales S/G,1 pieza = 136 g,87
Papa cocida sin cáscara,Cereales S/G,1 pieza = 136 g,85
Papa de agua,Cereales S/G,1 pieza = 78 g,91
Papa de cambray,Cereales S/G,1 pieza = 19 g,77
Papa hervida con piel,Cereales S/G,1 pieza = 136 g,87
Papa hervida pelada,Cereales S/G,1 pieza = 136 g,85
Papa hojuelas para puré,Cereales S/G,1 gramos = 1 g,355
Papa picada,Cereales S/G,1 taza = 140 g,69
Papa roja cruda,Cereales S/G,1 pieza = 170 g,71
Papilla de arroz,Cereales S/G,1 taza = 34 g,394
Papilla de arroz deshidratada,Cereales S/G,1 gramos = 1 g,393
Papilla de avena deshidratada,Cereales S/G,1 gramos = 1 g,373
Papilla de maíz deshidratada,Cereales S/G,1 sobre = 28 g,343
Pasta cocida,Cereales S/G,1 taza = 120 g,130
Pasta con huevo,Cereales S/G,1 taza = 45 g,380
Pasta cruda para sopa,Cereales S/G,1 gramos = 1 g,340
Pasta de codito,Cereales S/G,1 taza = 40 g,370
Pasta de estrellitas,Cereales S/G,1 taza = 76 g,363
Pasta de lagrimitas,Cereales S/G,1 taza = 76 g,363
Pasta de letras,Cereales S/G,1 taza = 76 g,363
Pasta de moño,Cereales S/G,1 taza = 40 g,370
Pasta de municiones,Cereales S/G,1 taza = 76 g,363
Pasta de trigo cocida,Cereales S/G,1 taza = 120 g,130
Pasta de trigo fresca,Cereales S/G,1 gramos = 1 g,288
Pasta fresca,Cereales S/G,1 gramos = 1 g,288
Pasta integral codida,Cereales S/G,1 taza = 139 g,124
Pasta para sopa cruda,Cereales S/G,1 gramos = 1 g,325
