id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
orejones-de-manzana,Frutas,Orejones de manzana,9,pieza,23,23,55,0.2,0.1,14.8,0,0,0,0,12.9,2,,0.7,,3.2,0.3,101.3,19.7,8.4,0,29,4.3
orejones-de-pera,Frutas,Orejones de pera,1,pieza,18,18,47,0.3,0.1,12.5,0,0,0,0,11.2,1.3,,1.2,,6.2,0.4,96,1.1,10.6,0,,
papaya-hawaiana,Frutas,Papaya Hawaiana,0.5,pieza,152,114,45,0.7,0.2,11.2,0,0,0,0,NID,2.1,23.9,70.5,43.3,27.4,0.1,292.9,3.4,5.6,0,,
papaya-picada,Frutas,Papaya picada,1,taza,140,140,55,0.8,0.1,13.7,0.1,0,0,0,,2.5,29.4,86.5,53.2,33.6,0.1,359.8,4.2,,0,59,8.1
papilla-de-chabacano-con-tapioca,Frutas,Papilla de chabacano con tapioca,0.75,frasco,98,98,61,0.3,0,16.9,0,0,0,0,1.4,1.5,70.2,2,1.5,8.8,0.3,118,7.8,,0,,
papilla-de-ciruela-pasa-con-tapioca,Frutas,Papilla de ciruela pasa con tapioca,0.75,frasco,98,98,68,0.6,0.1,18.2,0,0,0,0,10.7,2.6,43.9,1,0.2,14.6,0.4,172.6,4.9,,0,,
papilla-de-durazno,Frutas,Papilla de durazno,0.75,frasco,98,98,63,0.9,0.3,14.1,0,0,0,0,11.2,1.3,15.6,2.9,3.8,5.9,0.2,158,5.9,,0,,
papilla-de-frutas-mixtas,Frutas,Papilla de frutas mixtas,0.75,frasco,98,98,59,0.2,0,16,0,0,0,0,,,,30.2,,3.9,0.2,81.9,7.8,,0,,
papilla-de-guayaba-y-papaya-con-tapioca,Frutas,Papilla de guayaba y papaya con tapioca,0.75,frasco,98,98,61,0.2,0.1,16.6,0,0,0,0,,,,100.6,,2.9,0.1,146.3,8.8,,0,,
papilla-de-mango-con-tapioca,Frutas,Papilla de mango con tapioca,0.66,frasco,85,85,59,0.3,0.2,16.1,0,0,0,0,11,0.9,56.6,1.7,,3.4,0.1,49.9,3.4,,0,,
papilla-de-manzana,Frutas,Papilla de manzana,0.66,frasco,85,85,61,0.3,0,16.6,0,0,0,0,,,1.7,,0.3,16.1,0.2,42.3,8.5,,0,,
papilla-de-manzana-y-chabacano,Frutas,Papilla de manzana y chabacano,1,frasco,130,130,61,0.3,0.3,16.1,0,0,0,0,11.3,2.3,50.7,2.6,1.7,7.8,0.4,156,3.9,,0,,
papilla-de-pera,Frutas,Papilla de pera,0.75,frasco,98,98,56,0.3,0.1,13.3,0,0,0,0,8.4,1.2,2.9,2,3.5,7.8,0.2,126.8,2,,0,,
papilla-de-pera-y-pina,Frutas,Papilla de pera y piña,1,frasco,130,130,57,0.4,0.3,14.8,0,0,0,0,9.6,3.4,3.9,2.6,3.6,13,0.3,150.8,5.2,,0,,
papilla-de-platano-y-pina-con-tapioca,Frutas,Papilla de plátano y piña con tapioca,0.75,frasco,98,98,66,0.2,0.1,17.9,0,0,0,0,8.2,1.6,3.9,2,5.4,6.8,0.1,76.1,7.8,,0,,
pasas,Frutas,Pasas,10,pieza,20,20,59,0.5,0.1,15.7,0,0,0,0,,1.4,,1,0.6,5.6,0.5,165,5.6,15,0,64,10
pasitas,Frutas,Pasitas,10,pieza,20,20,59,0.5,0.1,15.7,0,0,0,0,,1.4,,10,0.6,5.6,0.5,165,5.6,15,0,,
pasitas-sin-semilla,Frutas,Pasitas sin semilla,10,pieza,20,20,60,0.6,0.1,15.8,0,0,0,0,11.8,0.7,0.2,0.6,0.6,9.8,0.4,150.2,2.4,19.4,0,,
pera,Frutas,Pera,0.5,pieza,95,81,47,0.3,1,12.5,0,0,0.1,0,7.9,2.5,1.5,3.4,5.8,8.8,0.2,101.2,,8.8,0,38,4.7
pera-asiatica,Frutas,Pera Asiática,0.5,pieza,138,117,49,0.6,0.3,12.4,0,0.1,0.1,0,8.2,4.2,,4.4,,4.8,,141.8,,12.5,0,,
pera-bartlett,Frutas,Pera Bartlett,0.5,pieza,91,77,45,0.3,0.1,12,0,0,0.1,0,7.6,2.4,1.4,3.3,5.6,8.4,0.2,96.9,,8.4,0,,
pera-d-anjou,Frutas,Pera D'anjou,0.5,pieza,95,81,47,0.3,0.1,12.5,0,0,0.1,0,7.9,2.5,1.5,3.4,5.8,8.8,0.2,101.2,,8.8,0,,
pera-en-agua,Frutas,Pera en agua,0.5,pieza,91,74,43,0.3,0.1,11.4,0,0,0.1,0,7.2,2.3,1.3,3.1,5.3,8,0.2,92.4,,8,0,,
pera-de-san-juan,Frutas,Pera de San Juan,2,pieza,130,105,61,0.4,0.1,16.3,0,0.1,0.1,0,10.3,3.3,1.9,4.4,7.6,11.4,0.3,131.9,,11.4,0,,
pera-deshidratada,Frutas,Pera deshidratada,1,orejones,18,18,46,0.3,0.1,12.2,0,0,0,0,,1.3,,1.2,,6,0.4,93.3,1.1,10.3,0,,
pera-en-almibar,Frutas,Pera en almíbar,0.5,pieza,76,76,44,0.3,0.1,11.7,0,0,0.1,0,7.4,2.4,,0.6,0.9,3.9,0.2,50.3,3.9,5.5,0,,
pera-mantequilla,Frutas,Pera Mantequilla,0.5,pieza,83,70,41,0.3,0.1,10.8,0,0,0.1,0,6.9,2.2,1.3,3,5.1,7.6,0.2,87.9,,7.6,0,,
pera-picada,Frutas,Pera picada,1,taza,150,150,63,0.8,0.3,16,0,0.1,0.2,0,10.6,5.4,2.7,6.3,10.8,16.3,0.4,188,,16.3,0,,
pera-pina,Frutas,Pera Piña,0.5,pieza,100,80,46,0.3,0.1,12.4,0,0,0.1,0,7.8,2.5,1.4,3.4,5.8,8.7,0.2,100.2,,8.7,0,,
pera-rebanada,Frutas,Pera rebanada,0.66,taza,98,98,41,0.5,0.2,10.4,0,0.1,0.1,0,6.9,3.5,1.8,4.1,7,10.6,0.2,122.2,,10.6,0,,
pera-roja,Frutas,Pera roja,0.5,pieza,90,81,47,0.3,0.1,12.5,0,0,0.1,0,7.9,2.5,,0.6,1,4.2,0.2,53.6,4.2,5.8,0,,
pera-roja-rebanada,Frutas,Pera roja rebanada,0.5,taza,80,80,46,0.3,0.1,12.4,0,0,0.1,0,7.8,2.5,,0.6,1,4.1,0.2,52.9,4.1,5.7,0,,
peron,Frutas,Perón,1,pieza,150,105,65,0.4,0.4,16.7,0,0,0,0,,2.2,1.1,5.3,,10.5,0.8,,,,0,,
peroon-picado,Frutas,Peroón picado,1,taza,125,125,78,0.5,0.5,19.9,0,0,0,0,,2.6,1.3,6.3,,12.5,1,,,,0,,
persimo,Frutas,Pérsimo,2,pieza,50,50,64,0.4,0.2,16.8,0,0,0,0,,,,34,,14,1.3,156,,14,0,,
persimo-japones,Frutas,Pérsimo Japonés,0.5,pieza,84,84,59,0.5,0.2,15.6,0,0.1,0.1,0,10.5,3,182.5,6.5,6.5,6.5,0.1,135,1,14.5,0,,
pina-deshidratada-enchilada,Frutas,Piña deshidratada enchilada,17,gramos,17,17,60,0.2,0,15,0,0,0,0,10.7,0.5,,,,,,,,,0,,
pina-en-almibar,Frutas,Piña en almíbar,1,reb,50,50,42,0.2,0.1,10.8,0,0,0,0,,4,5,2,2.3,13.6,0.7,51.3,0.5,,0,,
pina-el-almibar,Frutas,Piña el almíbar,0.33,taza,63,63,53,0.2,0.1,13.6,0,0,0,0,,0.5,0.7,4.7,3,8.9,0.2,65.8,0.7,4.5,0,,
pina-picada,Frutas,Piña picada,0.75,taza,124,124,62,0.7,0.1,16.2,0,0.1,0.2,0,12.2,1.7,2.4,19.2,12.8,8.8,0.5,139.7,1.6,8.8,0,59,9.6
pina-rebanada,Frutas,Piña rebanada,1,reb,84,84,42,0.5,0.1,11,0,0.1,0.1,0,8.3,1.2,1.6,13,8.7,6,0.3,94.8,1.1,6,0,,
pitahaya,Frutas,Pitahaya,2,pieza,240,108,52,1.7,0.6,11.2,0,0,0,0,,2.2,,17.3,,11.9,2.1,,,,0,,
