food_id,medida_nombre,porcion_default,gramos_por_medida
mnago-deshidratado,gramos,19,1.0
mango-en-almibar-enlatado,pieza,1,61.0
mango-enchilado,gramos,17,1.0
mango-manila,pieza,1,145.0
mango-petacon,pieza,0.5,220.0
mango-picado,taza,1,165.0
mangosteno-enlatado-en-jarabe,taza,0.5,196.0
manzana,pieza,1,106.0
manzana-al-vapor,taza,0.5,172.0
manzana-amarilla,pieza,1,100.0
manzana-cocida,taza,0.5,172.0
manzana-deshidratada,orejones,9,2.56
manzana-en-almibar,pieza,1,24.0
manzana-en-almibar-enlatada,pieza,1,24.0
manzana-golden,pieza,1,100.0
manzana-granny,pieza,0.5,142.0
manzana-picada,taza,0.5,150.0
manzana-roja,pieza,1,142.0
manzana-sin-cascara,pieza,1,128.0
manzana-verde,pieza,0.5,142.0
manzana-washington,pieza,0.5,142.0
maracuya,pieza,3,17.67
maracuya-rebanado,taza,0.5,138.0
maranon-fresco,gramos,190,0.9
melon,pieza,0.33,542.42
melon-cantaloupe,pieza,0.33,542.42
melon-chino,pieza,0.25,576.0
melon-picado,taza,1,160.0
melon-valenciano,pieza,0.33,542.42
melon-valenciano-picado,taza,1,160.0
melon-verde-picado,taza,1,160.0
membrillo,pieza,1,98.0
moras,taza,0.75,144.0
nanche-agrio,pieza,45,2.71
naranja,pieza,2,76.0
naranja-agria,pieza,2,63.0
naranja-cajera,pieza,2,69.5
naranja-china,pieza,4,32.25
naranja-sin-semilla,pieza,1,155.0
naranja-valenciana,pieza,2,81.0
naranjada-concentrada,taza,0.5,260.0
nectarina,pieza,1,124.0
nispero,pieza,25,5.6
nispero-del-japon,pieza,2,54.0
orejones-de-chabacano,pieza,7,3.57
orejones-de-durazno,pieza,2,13.0
orejones-de-manzana,pieza,9,2.56
orejones-de-pera,pieza,1,18.0
papaya-hawaiana,pieza,0.5,228.0
papaya-picada,taza,1,140.0
papilla-de-chabacano-con-tapioca,frasco,0.75,130.67
papilla-de-ciruela-pasa-con-tapioca,frasco,0.75,130.67
papilla-de-durazno,frasco,0.75,130.67
papilla-de-frutas-mixtas,frasco,0.75,130.67
papilla-de-guayaba-y-papaya-con-tapioca,frasco,0.75,130.67
papilla-de-mango-con-tapioca,frasco,0.66,128.79
papilla-de-manzana,frasco,0.66,128.79
papilla-de-manzana-y-chabacano,frasco,1,130.0
papilla-de-pera,frasco,0.75,130.67
papilla-de-pera-y-pina,frasco,1,130.0
papilla-de-platano-y-pina-con-tapioca,frasco,0.75,130.67
pasas,pieza,10,2.0
pasitas,pieza,10,2.0
pasitas-sin-semilla,pieza,10,2.0
pera,pieza,0.5,162.0
pera-asiatica,pieza,0.5,234.0
pera-bartlett,pieza,0.5,154.0
pera-d-anjou,pieza,0.5,162.0
pera-en-agua,pieza,0.5,148.0
pera-de-san-juan,pieza,2,52.5
pera-deshidratada,orejones,1,18.0
pera-en-almibar,pieza,0.5,152.0
pera-mantequilla,pieza,0.5,140.0
pera-picada,taza,1,150.0
pera-pina,pieza,0.5,160.0
pera-rebanada,taza,0.66,148.48
pera-roja,pieza,0.5,162.0
pera-roja-rebanada,taza,0.5,160.0
peron,pieza,1,105.0
peroon-picado,taza,1,125.0
persimo,pieza,2,25.0
persimo-japones,pieza,0.5,168.0
pina-deshidratada-enchilada,gramos,17,1.0
pina-en-almibar,rebanada,1,50.0
pina-el-almibar,taza,0.33,190.91
pina-picada,taza,0.75,165.33
pina-rebanada,rebanada,1,84.0
pitahaya,pieza,2,54.0
platano,pieza,0.5,108.0
platano-deshidratado,taza,0.25,80.0
platano-dominico,pieza,3,19.0
platano-machacado,taza,0.25,224.0
platano-macho,pieza,0.25,196.0
platano-macho-rebanado,taza,0.33,154.55
platano-manzano,pieza,0.5,98.0
platano-morado,pieza,0.5,98.0
pomarosa,gramos,140,0.68
